family_n,layer,seed,task_pair,utility_block_difference,utility_ff_difference,utility_sa_difference
60,1,33,maximum__last,2.0019122654222885,0.011936814337968827,2.4882958135761633
60,1,44,maximum__last,0.0418838292437916,0.005902046834429105,0.06470019761860991
60,1,55,maximum__last,1.79878706720192,0.019453087903093545,2.3019963680611304
60,2,11,maximum__last,-0.24586895280129586,0.012112725134162854,-0.29103529253043237
60,2,22,maximum__last,0.1004721192875877,0.03613661083315189,0.056175396890224265
60,2,33,maximum__last,0.016564417141489686,0.012782431587887307,0.0658843310821491
60,2,44,maximum__last,1.9053727399324998,-0.02917524801644807,2.2892272042304587
60,2,55,maximum__last,-0.012993402612240364,-0.010141476247614871,-0.008574601352059593
60,3,11,maximum__last,0.023908005616006752,0.011453000646239768,0.021676571220935633
60,3,22,maximum__last,-0.4387005425756797,0.10158744893657665,-0.537714277789928
60,3,33,maximum__last,-0.21037334823049605,-0.007796088342244426,-0.13322369875386358
60,3,44,maximum__last,0.006560490555906047,-0.008441504975780844,-0.014854566349337498
60,3,55,maximum__last,-0.0577360388240777,-0.020930043949435154,-0.042149110344083356
60,4,11,maximum__last,-0.16152174083981663,-0.0271071201035132,-0.17760215957338613
60,4,22,maximum__last,0.05948029247034962,0.022443972120527178,0.036579671300326785
60,4,33,maximum__last,0.005324220956147959,0.0049117357819341125,-0.011398570111487061
60,4,44,maximum__last,0.003303178101001928,-0.016970022954046725,0.05764610201586038
60,4,55,maximum__last,-0.014658308762591332,-0.013532783440314233,-0.007390754634980112
60,5,11,maximum__last,0.763615297281649,0.029495311916495362,0.8455411372706294
60,5,22,maximum__last,0.334607798124974,-0.011570079275406897,0.26645148942867913
60,5,33,maximum__last,0.020384101755917074,-0.0003379575946989159,0.017051936697680504
60,5,44,maximum__last,-0.013130842909837763,-0.007690693410889556,-0.012996625539381057
60,5,55,maximum__last,-0.03881459643210595,-0.010913358015629152,-0.02451259894296527
60,6,11,maximum__last,0.042284920629269133,0.009606381067230055,0.043206812918651846
60,6,22,maximum__last,0.026355923510467012,-0.00843807253598546,0.03620674142536397
60,6,33,maximum__last,0.01975640937453136,-0.0015754902230886122,0.026381516188848764
60,6,44,maximum__last,0.0364112887570324,-0.004421228205319494,0.039910855000683414
60,6,55,maximum__last,-0.01968105382596453,-0.009452849603258073,-0.01420267396994556
60,7,11,maximum__last,0.06871531159073735,0.005544636414075891,0.06878825194435194
60,7,22,maximum__last,0.06074124187774335,-0.004253742498500894,0.0769758376874961
60,7,33,maximum__last,0.0015135176635036865,1.8161640036851166e-05,0.0018262079334817826
60,7,44,maximum__last,-0.01133392834259818,0.002874799926454822,-0.01471181376837194
60,7,55,maximum__last,-0.02342913850831489,-0.0017919061278613905,-0.0184027343057096
60,8,11,maximum__last,-0.032513312813049804,-0.010664971871301531,-0.02538040738242368
60,8,22,maximum__last,0.029105011889866243,0.01249727038666606,0.009692311224838098
60,8,33,maximum__last,0.0011514365556649863,0.00043958296300843357,0.000520944424594442
60,8,44,maximum__last,-0.007867556853064646,0.00020860669901594519,-0.007257727378358444
